Tanggal,TAVG,RH_AVG,RR,Harga,Bulan,Hari_ke,Tahun,Is_Hari_Raya,Harga_Lag_1,Harga_Lag_7
2020-01-09,23.2,91.0,0.9,37.25,1,3,2020,0,37.75,39.5
2020-01-10,22.4,94.0,0.5,37.25,1,4,2020,0,37.25,39.5
2020-01-11,23.2,91.0,4.2,37.25,1,5,2020,0,37.25,39.5
2020-01-12,22.0,90.0,10.4,37.25,1,6,2020,0,37.25,39.5
2020-01-13,23.9,79.0,0.5,47.0,1,0,2020,0,37.25,37.75
2020-01-14,23.8,89.0,0.0,53.5,1,1,2020,0,47.0,37.75
2020-01-15,22.3,91.0,0.5,53.5,1,2,2020,0,53.5,37.75
2020-01-16,22.3,90.0,0.0,55.75,1,3,2020,0,53.5,37.25
2020-01-17,22.7,88.0,0.0,55.75,1,4,2020,0,55.75,37.25
2020-01-18,23.8,82.0,0.0,55.75,1,5,2020,0,55.75,37.25
2020-01-19,23.6,85.0,0.0,55.75,1,6,2020,0,55.75,37.25
2020-01-20,23.9,79.0,0.0,63.0,1,0,2020,0,55.75,47.0
2020-01-21,23.4,83.0,1.6,64.0,1,1,2020,0,63.0,53.5
2020-01-22,22.7,89.0,0.7,71.0,1,2,2020,0,64.0,53.5
2020-01-23,24.6,78.0,0.0,73.75,1,3,2020,0,71.0,55.75
2020-01-24,22.8,86.0,0.0,72.5,1,4,2020,0,73.75,55.75
2020-01-25,22.9,88.0,0.0,72.5,1,5,2020,0,72.5,55.75
2020-01-26,22.7,87.0,0.0,72.5,1,6,2020,0,72.5,55.75
2020-01-27,22.9,86.0,0.0,63.0,1,0,2020,0,72.5,63.0
2020-01-28,22.6,86.0,0.0,71.5,1,1,2020,0,63.0,64.0
2020-01-29,21.9,82.0,0.0,72.75,1,2,2020,0,71.5,71.0
2020-01-30,23.5,83.0,0.0,75.25,1,3,2020,0,72.75,73.75
2020-01-31,23.5,88.0,2.033333333333333,75.25,1,4,2020,0,75.25,72.5
2020-02-01,22.0,94.0,4.066666666666666,75.25,2,5,2020,0,75.25,72.5
2020-02-02,23.6,90.0,6.1,75.25,2,6,2020,0,75.25,72.5
2020-02-03,21.1,97.0,30.4,70.5,2,0,2020,0,75.25,63.0
2020-02-04,21.8,92.0,70.6,76.0,2,1,2020,0,70.5,71.5
2020-02-05,22.8,86.0,2.0,74.75,2,2,2020,0,76.0,72.75
2020-02-06,22.6,86.0,0.0,71.5,2,3,2020,0,74.75,75.25
